1300 	1310 	1320 	1340 	1700 	1710 	1720 	1740 	2300 	2301
2302 	2304 	2310 	2320 	2352 	2355 	2358 	2360 	2361 	2381
2700 	2701 	2702 	2704 	2710 	2720 	2752 	2755 	2758 	2760
2762 	2782 	2784 	2785 	2786 	3310 	3315 	3320 	3325 	3328
3330 	3332 	3335 	3338 	3340 	3342 	3350 	3354 	3371 	3710
3715 	3720 	3725 	3728 	3730 	3733 	3735 	3738 	3740 	3742
3750 	3754 	3771 	3781 	3782 	4315 	4325 	4326 	4328 	4340
4341 	4372 	4381 	4391 	4392 	4393 	4398 	4399 	4715 	4725
4726 	4728 	4740 	4741 	4772 	4782 	4783 	4791 	4792 	4793
4798 	4799 	4952 	4970 	
